id;card_id;price_from;monthly_avg;weekly_avg;daily_avg;available_items;date_id
80;80;0.01;0.12;0.14;0.13;2590.0;1
81;81;0.02;0.15;0.13;0.02;1854.0;1
82;82;0.01;0.07;0.07;0.1;4296.0;1
83;83;0.01;0.1;0.13;0.05;3503.0;1
84;84;0.02;0.15;0.17;0.1;2638.0;1
85;85;4.0;6.35;6.18;6.0;326.0;1
86;86;0.15;0.49;0.49;0.25;1063.0;1
87;87;0.05;0.27;0.46;0.5;2005.0;1
88;88;0.01;0.14;0.16;0.05;2321.0;1
89;89;0.02;0.13;0.21;0.25;1939.0;1
90;90;1.73;2.74;2.72;3.0;387.0;1
91;91;0.02;0.18;0.19;0.2;3283.0;1
92;92;15.88;19.89;19.66;18.74;215.0;1
93;93;0.02;0.06;0.07;0.02;2669.0;1
94;94;0.01;0.05;0.07;0.05;4923.0;1
95;95;5.0;7.32;6.96;7.5;616.0;1
96;96;0.01;0.16;0.17;0.13;2789.0;1
97;97;0.01;0.09;0.04;0.02;4532.0;1
98;98;0.02;0.13;0.11;0.02;2262.0;1
99;99;0.08;0.44;0.5;0.2;893.0;1
100;100;1.0;1.96;2.08;2.0;1038.0;1
101;101;0.01;0.13;0.11;0.02;2416.0;1
102;102;0.02;0.12;0.13;0.15;2637.0;1
103;103;0.02;0.09;0.08;0.02;2458.0;1
104;104;0.01;0.08;0.1;0.02;4642.0;1
105;105;1.2;2.5;2.43;1.3;485.0;1
106;106;0.02;0.11;0.08;0.05;2486.0;1
107;107;0.01;0.15;0.12;0.08;3061.0;1
108;108;0.01;0.12;0.11;0.02;2719.0;1
109;109;0.05;0.15;0.13;0.1;2624.0;1
110;110;0.01;0.21;0.16;0.3;1643.0;1
111;111;0.01;0.05;0.08;0.03;4838.0;1
112;112;0.02;0.15;0.13;0.1;2591.0;1
113;113;0.01;0.06;0.05;0.02;4393.0;1
114;114;0.02;0.12;0.09;0.09;2380.0;1
115;115;0.01;0.12;0.12;0.2;2177.0;1
116;116;0.02;0.12;0.07;0.1;2768.0;1
117;117;1.25;1.77;1.75;2.2;817.0;1
118;118;0.01;0.11;0.15;0.15;2431.0;1
119;119;0.01;0.13;0.17;0.15;3025.0;1
120;120;0.01;0.1;0.12;0.49;4779.0;1
121;121;0.01;0.13;0.11;0.07;3328.0;1
122;122;0.02;0.13;0.1;0.1;2692.0;1
123;123;0.01;0.05;0.04;0.02;4505.0;1
124;124;0.01;0.1;0.1;0.1;3032.0;1
125;125;0.01;0.03;0.03;0.02;4813.0;1
126;126;0.01;0.03;0.03;0.11;4668.0;1
127;127;0.01;0.06;0.06;0.05;4820.0;1
128;128;0.02;0.07;0.06;0.05;2863.0;1
129;129;0.02;0.25;0.19;0.19;1046.0;1
130;130;0.05;0.26;0.3;0.85;948.0;1
131;131;0.01;0.06;0.06;0.03;4773.0;1
132;132;0.1;0.3;0.39;0.4;1690.0;1
133;133;0.01;0.05;0.05;0.05;4820.0;1
134;134;0.01;0.09;0.05;0.02;2872.0;1
135;135;0.02;0.1;0.12;0.02;1950.0;1
136;136;0.01;0.05;0.09;0.12;4532.0;1
137;137;0.01;0.05;0.05;0.05;4785.0;1
138;138;0.01;0.07;0.07;0.06;4885.0;1
139;139;0.02;0.12;0.11;0.06;2678.0;1
140;140;0.01;0.03;0.03;0.01;4814.0;1
141;141;0.01;0.06;0.06;0.06;2732.0;1
142;142;0.02;0.06;0.1;0.05;2813.0;1
143;143;0.02;0.1;0.2;0.5;3209.0;1
144;144;0.02;0.06;0.08;0.06;2737.0;1
145;145;0.01;0.06;0.04;0.05;4739.0;1
146;146;0.02;0.07;0.09;0.04;2593.0;1
147;147;0.02;0.09;0.07;0.02;2753.0;1
148;148;0.01;0.02;0.02;0.02;2910.0;1
149;149;0.01;0.04;0.03;0.15;5349.0;1
150;150;0.01;0.07;0.07;0.19;2893.0;1
151;151;0.01;0.05;0.04;0.04;2848.0;1
152;152;0.01;0.07;0.1;0.02;2812.0;1
153;153;0.01;0.06;0.08;0.02;4828.0;1
154;154;0.01;0.06;0.09;0.03;5569.0;1
155;155;0.01;0.07;0.07;0.02;4887.0;1
156;156;0.01;0.04;0.03;0.02;4833.0;1
157;157;0.02;0.09;0.1;0.1;2686.0;1
158;158;0.01;0.05;0.04;0.02;4757.0;1
159;159;0.02;0.05;0.04;0.09;2825.0;1
160;160;0.01;0.04;0.04;0.01;4823.0;1
161;161;0.01;0.05;0.06;0.05;4824.0;1
162;162;0.01;0.05;0.07;0.02;2981.0;1
163;163;0.02;0.08;0.11;0.05;2964.0;1
164;164;0.01;0.06;0.09;0.1;4667.0;1
165;165;0.01;0.06;0.07;0.05;4851.0;1
166;166;0.01;0.05;0.04;0.05;4763.0;1
167;167;0.01;0.1;0.1;0.05;2681.0;1
168;168;0.02;0.11;0.09;0.04;2893.0;1
169;169;0.01;0.07;0.06;0.02;4889.0;1
170;170;0.01;0.06;0.04;0.12;4958.0;1
171;171;0.01;0.04;0.11;0.15;4676.0;1
172;172;0.01;0.04;0.03;0.1;4814.0;1
173;173;0.01;0.03;0.09;0.02;4819.0;1
174;174;0.01;0.04;0.06;0.04;4794.0;1
175;175;0.01;0.08;0.04;0.02;4579.0;1
176;176;0.01;0.09;0.08;0.02;2585.0;1
177;177;0.01;0.07;0.08;0.15;5224.0;1
178;178;0.01;0.04;0.06;0.02;4860.0;1
179;179;0.01;0.05;0.04;0.02;4742.0;1
180;180;0.01;0.06;0.07;0.1;2859.0;1
181;181;0.01;0.04;0.06;0.05;4836.0;1
182;182;0.01;0.04;0.06;0.19;4862.0;1
183;183;0.02;0.04;0.03;0.05;2924.0;1
184;184;0.01;0.02;0.05;0.02;4817.0;1
185;185;0.01;0.03;0.02;0.02;2916.0;1
186;186;0.01;0.04;0.08;0.05;4797.0;1
187;187;0.01;0.07;0.09;0.19;2819.0;1
188;188;0.01;0.03;0.04;0.02;4859.0;1
189;189;0.01;0.05;0.04;0.02;2944.0;1
190;190;0.01;0.02;0.02;0.02;4793.0;1
191;191;0.01;0.03;0.02;0.01;5045.0;1
192;192;0.02;0.05;0.04;0.05;2952.0;1
193;193;0.01;0.05;0.06;0.02;4798.0;1
194;194;0.02;0.07;0.13;0.05;2856.0;1
195;195;0.01;0.03;0.07;0.07;4781.0;1
196;196;0.01;0.03;0.06;0.2;4807.0;1
197;197;0.01;0.04;0.06;0.06;2944.0;1
198;198;0.01;0.06;0.05;0.05;4900.0;1
199;199;0.01;0.03;0.02;0.02;4849.0;1
200;200;0.02;0.04;0.03;0.11;2831.0;1
201;201;0.02;0.08;0.05;0.02;2837.0;1
202;202;0.01;0.04;0.04;0.04;2900.0;1
203;203;0.01;0.05;0.06;0.1;4840.0;1
204;204;0.01;0.02;0.04;0.02;4819.0;1
205;205;0.01;0.03;0.04;0.02;4935.0;1
206;206;0.02;0.08;0.05;0.02;3003.0;1
207;207;0.02;0.09;0.05;0.02;3014.0;1
208;208;0.02;0.08;0.06;0.05;2992.0;1
209;209;0.02;0.06;0.07;0.05;2881.0;1
210;210;0.01;0.04;0.03;0.01;4783.0;1
211;211;0.01;0.12;0.07;0.02;4744.0;1
212;212;0.01;0.06;0.08;0.05;4815.0;1
213;213;0.02;0.05;0.06;0.11;2971.0;1
214;214;0.01;0.03;0.04;0.02;4812.0;1
215;215;0.02;0.08;0.09;0.04;2966.0;1
216;216;0.01;0.08;0.05;0.05;2961.0;1
217;217;0.01;0.05;0.07;0.04;4952.0;1
218;218;0.01;0.03;0.03;0.02;4806.0;1
219;219;0.01;0.04;0.02;0.02;4816.0;1
220;220;0.01;0.04;0.04;0.02;4632.0;1
221;221;0.01;0.02;0.03;0.02;4830.0;1
222;222;0.01;0.06;0.06;0.04;2859.0;1
223;223;0.01;0.04;0.04;0.03;2907.0;1
224;224;0.01;0.05;0.08;0.12;5037.0;1
225;225;0.01;0.04;0.06;0.02;4731.0;1
226;226;0.01;0.02;0.02;0.02;4761.0;1
227;227;0.01;0.04;0.04;0.02;4813.0;1
228;228;0.01;0.05;0.05;0.02;3031.0;1
229;229;0.01;0.03;0.04;0.02;4865.0;1
230;230;0.01;0.04;0.04;0.05;4788.0;1
231;231;0.01;0.03;0.03;0.03;2848.0;1
232;232;0.01;0.04;0.03;0.02;4838.0;1
233;233;0.01;0.03;0.03;0.11;4934.0;1
234;234;0.01;0.04;0.03;0.02;4884.0;1
235;235;0.01;0.05;0.05;0.05;4866.0;1
236;236;0.01;0.03;0.02;0.02;4870.0;1
237;237;0.01;0.04;0.07;0.02;4972.0;1
238;238;0.01;0.04;0.1;0.18;4873.0;1
239;239;0.01;0.03;0.04;0.04;4929.0;1
240;240;0.01;0.04;0.04;0.04;4938.0;1
241;241;0.01;0.04;0.02;0.02;4864.0;1
242;242;0.01;0.03;0.08;0.1;4820.0;1
243;243;0.01;0.07;0.02;0.02;4913.0;1
244;244;0.01;0.04;0.02;0.02;4729.0;1
245;245;0.01;0.03;0.03;0.02;4793.0;1
246;246;0.01;0.03;0.03;0.03;4919.0;1
247;247;0.01;0.03;0.03;0.01;4910.0;1
248;248;0.01;0.02;0.02;0.02;4792.0;1
249;249;0.01;0.04;0.05;0.02;4714.0;1
250;250;0.02;0.03;0.04;0.04;2921.0;1
251;251;0.01;0.03;0.02;0.03;4851.0;1
252;252;0.01;0.02;0.02;0.02;4794.0;1
253;253;0.01;0.03;0.03;0.02;4780.0;1
254;254;0.01;0.03;0.03;0.04;2855.0;1
255;255;0.01;0.05;0.06;0.05;4792.0;1
256;256;0.01;0.03;0.05;0.05;4889.0;1
257;257;0.01;0.03;0.04;0.05;4670.0;1
258;258;0.01;0.04;0.02;0.01;4812.0;1
259;259;0.01;0.04;0.03;0.01;4879.0;1
260;260;0.01;0.02;0.04;0.02;4913.0;1
261;261;0.01;0.03;0.03;0.02;4843.0;1
262;262;0.01;0.02;0.03;0.02;4942.0;1
263;263;32.85;33.33;36.81;39.4;38.0;1
264;264;16.85;19.28;19.3;17.99;39.0;1
265;1;0.15;0.87;0.86;0.94;1015.0;2
266;2;0.02;0.25;0.32;0.16;2135.0;2
267;3;0.1;0.39;0.44;0.35;1403.0;2
268;4;1.2;2.2;2.62;3.95;294.0;2
269;5;8.99;12.75;12.6;12.81;197.0;2
270;6;0.02;0.34;0.45;0.48;997.0;2
271;7;0.15;0.81;0.87;0.48;366.0;2
272;8;0.01;0.11;0.08;0.1;6981.0;2
273;9;0.01;0.09;0.13;0.1;4242.0;2
274;10;0.1;0.38;0.48;0.32;1220.0;2
275;11;24.0;28.61;28.28;29.97;140.0;2
276;12;5.99;7.95;7.87;9.0;214.0;2
277;13;0.05;0.79;0.82;1.32;445.0;2
278;14;0.19;0.46;0.47;0.28;778.0;2
279;15;3.99;4.96;5.28;5.34;299.0;2
280;16;0.25;0.98;0.92;1.04;2048.0;2
281;17;1.0;2.17;2.35;2.49;353.0;2
282;18;4.99;7.49;7.25;9.8;246.0;2
283;19;0.1;0.53;0.52;0.49;958.0;2
284;20;7.49;9.89;10.21;10.32;286.0;2
285;21;0.65;1.35;1.27;1.25;249.0;2
286;22;1.15;1.83;1.96;1.45;350.0;2
287;23;0.15;0.71;0.75;0.99;565.0;2
288;24;16.45;22.17;23.42;23.36;147.0;2
289;25;17.5;18.67;19.1;19.53;150.0;2
290;26;1.4;2.51;2.71;2.0;449.0;2
291;27;1.98;3.03;2.99;4.0;226.0;2
292;28;0.02;0.13;0.15;0.24;3736.0;2
293;29;1.0;2.2;2.48;2.27;386.0;2
294;30;1.5;2.56;2.51;2.1;378.0;2
295;31;10.0;14.33;15.58;16.82;214.0;2
296;32;8.0;11.75;12.04;12.6;225.0;2
297;33;2.99;4.69;5.1;5.96;237.0;2
298;34;1.95;3.36;3.7;4.4;377.0;2
299;35;2.0;5.21;6.0;5.75;313.0;2
300;36;3.49;4.58;4.7;5.0;368.0;2
301;37;0.01;0.16;0.16;0.05;3643.0;2
302;38;0.6;1.89;2.33;2.45;300.0;2
303;39;0.15;0.66;0.73;0.74;597.0;2
304;40;0.1;0.65;0.63;0.2;665.0;2
305;41;0.1;0.31;0.37;0.29;1588.0;2
306;42;4.5;5.71;5.96;5.21;324.0;2
307;43;0.1;0.44;0.51;0.74;1371.0;2
308;44;0.01;0.09;0.15;0.1;3935.0;2
309;45;9.99;9.83;11.48;11.79;362.0;2
310;46;0.1;0.37;0.45;0.46;1147.0;2
311;47;0.1;0.46;0.44;0.36;1172.0;2
312;48;0.02;0.32;0.3;0.32;1692.0;2
313;49;0.05;0.31;0.28;0.3;1282.0;2
314;50;0.2;0.94;0.95;0.5;334.0;2
315;51;20.0;23.41;24.34;24.79;163.0;2
316;52;0.02;0.19;0.2;0.15;2999.0;2
317;53;4.45;8.36;9.35;9.0;168.0;2
318;54;0.01;0.09;0.09;0.05;5052.0;2
319;55;0.02;0.17;0.15;0.04;2827.0;2
320;56;0.95;1.68;1.68;1.0;537.0;2
321;57;0.02;0.15;0.21;0.27;2136.0;2
322;58;0.02;0.15;0.15;0.1;1825.0;2
323;59;5.0;6.97;7.23;7.0;226.0;2
324;60;0.09;0.26;0.2;0.49;1853.0;2
325;61;0.01;0.14;0.1;0.09;3387.0;2
326;62;20.0;27.41;28.4;25.0;146.0;2
327;63;1.5;2.57;2.4;2.75;213.0;2
328;64;0.1;0.44;0.29;0.19;1384.0;2
329;65;0.08;0.3;0.24;0.35;1549.0;2
330;66;12.46;17.76;18.29;23.5;224.0;2
331;67;0.49;0.89;0.86;0.99;854.0;2
332;68;0.04;0.25;0.23;0.17;1846.0;2
333;69;38.94;44.2;44.68;43.0;151.0;2
334;70;15.95;21.43;22.5;23.0;164.0;2
335;71;0.09;0.25;0.26;0.14;2071.0;2
336;72;0.02;0.17;0.19;0.24;1719.0;2
337;73;0.1;0.35;0.35;0.4;1321.0;2
338;74;0.01;0.14;0.24;0.02;3562.0;2
339;75;1.4;2.34;2.28;2.63;873.0;2
340;76;0.05;0.2;0.17;0.24;1952.0;2
341;77;0.04;0.31;0.29;0.22;1747.0;2
342;78;0.05;0.33;0.33;0.32;1821.0;2
343;79;0.01;0.13;0.14;0.07;2807.0;2
344;80;0.01;0.12;0.14;0.13;2590.0;2
345;81;0.02;0.15;0.13;0.02;1854.0;2
346;82;0.01;0.07;0.07;0.1;4296.0;2
347;83;0.01;0.1;0.13;0.05;3503.0;2
348;84;0.02;0.15;0.17;0.1;2638.0;2
349;85;4.44;6.34;5.9;3.5;327.0;2
350;86;0.15;0.49;0.49;0.25;1063.0;2
351;87;0.05;0.28;0.5;0.45;2005.0;2
352;88;0.01;0.14;0.16;0.05;2321.0;2
353;89;0.02;0.13;0.21;0.25;1928.0;2
354;90;1.73;2.74;2.72;3.0;387.0;2
355;91;0.02;0.18;0.19;0.2;3283.0;2
356;92;15.88;19.84;19.63;19.98;214.0;2
357;93;0.02;0.06;0.06;0.02;2669.0;2
358;94;0.01;0.05;0.07;0.05;4923.0;2
359;95;5.0;7.31;7.21;6.8;616.0;2
360;96;0.01;0.16;0.17;0.13;2789.0;2
361;97;0.01;0.09;0.04;0.02;4532.0;2
362;98;0.02;0.13;0.11;0.02;2262.0;2
363;99;0.08;0.44;0.5;0.2;900.0;2
364;100;1.0;1.96;2.08;2.0;1038.0;2
365;101;0.01;0.13;0.11;0.02;2416.0;2
366;102;0.02;0.12;0.13;0.15;2637.0;2
367;103;0.02;0.09;0.08;0.02;2458.0;2
368;104;0.01;0.08;0.1;0.02;4642.0;2
369;105;1.2;2.41;2.24;1.43;485.0;2
370;106;0.02;0.11;0.08;0.15;2486.0;2
371;107;0.01;0.15;0.12;0.08;3061.0;2
372;108;0.01;0.12;0.11;0.02;2719.0;2
373;109;0.05;0.15;0.13;0.1;2624.0;2
374;110;0.01;0.21;0.16;0.3;1643.0;2
375;111;0.01;0.05;0.08;0.03;4838.0;2
376;112;0.02;0.15;0.13;0.1;2591.0;2
377;113;0.01;0.06;0.05;0.02;4393.0;2
378;114;0.02;0.12;0.09;0.09;2380.0;2
379;115;0.01;0.12;0.12;0.2;2177.0;2
380;116;0.02;0.12;0.07;0.1;2768.0;2
381;117;1.25;1.77;1.75;2.2;816.0;2
382;118;0.01;0.11;0.15;0.15;2431.0;2
383;119;0.01;0.12;0.11;0.08;3025.0;2
384;120;0.01;0.1;0.12;0.49;4779.0;2
385;121;0.01;0.13;0.11;0.07;3328.0;2
386;122;0.02;0.13;0.1;0.1;2692.0;2
387;123;0.01;0.05;0.04;0.02;4505.0;2
388;124;0.01;0.11;0.11;0.18;3032.0;2
389;125;0.01;0.03;0.02;0.03;4813.0;2
390;126;0.01;0.03;0.03;0.11;4668.0;2
391;127;0.01;0.06;0.06;0.05;4820.0;2
392;128;0.02;0.07;0.06;0.05;2863.0;2
393;129;0.02;0.25;0.19;0.19;1046.0;2
394;130;0.05;0.26;0.3;0.85;948.0;2
395;131;0.01;0.06;0.06;0.03;4773.0;2
396;132;0.1;0.3;0.26;0.1;1690.0;2
397;133;0.01;0.05;0.05;0.05;4820.0;2
398;134;0.01;0.09;0.05;0.02;2872.0;2
399;135;0.02;0.12;0.19;0.5;1950.0;2
400;136;0.01;0.05;0.09;0.12;4532.0;2
401;137;0.01;0.05;0.05;0.05;4785.0;2
402;138;0.01;0.07;0.07;0.01;4885.0;2
403;139;0.02;0.12;0.11;0.06;2678.0;2
404;140;0.01;0.03;0.03;0.01;4814.0;2
405;141;0.01;0.06;0.05;0.06;2732.0;2
406;142;0.02;0.06;0.1;0.05;2813.0;2
407;143;0.02;0.1;0.19;0.2;3209.0;2
408;144;0.02;0.06;0.08;0.06;2737.0;2
409;145;0.01;0.06;0.04;0.05;4739.0;2
410;146;0.02;0.08;0.09;0.02;2593.0;2
411;147;0.02;0.09;0.07;0.02;2753.0;2
412;148;0.01;0.02;0.02;0.02;2910.0;2
413;149;0.01;0.04;0.03;0.15;5349.0;2
414;150;0.01;0.07;0.07;0.19;2893.0;2
415;151;0.01;0.05;0.05;0.02;2848.0;2
416;152;0.01;0.07;0.1;0.02;2812.0;2
417;153;0.01;0.06;0.08;0.02;4828.0;2
418;154;0.01;0.06;0.09;0.03;5485.0;2
419;155;0.01;0.07;0.07;0.02;4887.0;2
420;156;0.01;0.04;0.03;0.02;4833.0;2
421;157;0.02;0.09;0.1;0.1;2686.0;2
422;158;0.01;0.05;0.04;0.02;4757.0;2
423;159;0.02;0.05;0.04;0.09;2825.0;2
424;160;0.01;0.04;0.04;0.01;4823.0;2
425;161;0.01;0.05;0.06;0.05;4824.0;2
426;162;0.01;0.05;0.04;0.02;2981.0;2
427;163;0.02;0.08;0.11;0.05;2964.0;2
428;164;0.01;0.06;0.09;0.1;4667.0;2
429;165;0.01;0.06;0.07;0.05;4851.0;2
430;166;0.01;0.05;0.04;0.05;4763.0;2
431;167;0.01;0.1;0.1;0.05;2681.0;2
432;168;0.02;0.11;0.09;0.04;2893.0;2
433;169;0.01;0.07;0.06;0.02;4889.0;2
434;170;0.01;0.06;0.04;0.12;4958.0;2
435;171;0.01;0.04;0.11;0.15;4676.0;2
436;172;0.01;0.04;0.03;0.1;4814.0;2
437;173;0.01;0.03;0.09;0.02;4819.0;2
438;174;0.01;0.04;0.06;0.04;4794.0;2
439;175;0.01;0.08;0.04;0.02;4579.0;2
440;176;0.01;0.09;0.08;0.02;2585.0;2
441;177;0.01;0.07;0.08;0.15;5224.0;2
442;178;0.01;0.04;0.06;0.02;4860.0;2
443;179;0.01;0.05;0.04;0.02;4742.0;2
444;180;0.01;0.06;0.08;0.1;2859.0;2
445;181;0.01;0.04;0.06;0.05;4836.0;2
446;182;0.01;0.04;0.06;0.19;4862.0;2
447;183;0.02;0.04;0.03;0.05;2896.0;2
448;184;0.01;0.02;0.05;0.02;4817.0;2
449;185;0.01;0.03;0.02;0.02;2916.0;2
450;186;0.01;0.04;0.08;0.05;4797.0;2
451;187;0.01;0.07;0.09;0.19;2819.0;2
452;188;0.01;0.03;0.04;0.02;4859.0;2
453;189;0.01;0.05;0.04;0.02;2944.0;2
454;190;0.01;0.02;0.02;0.02;4793.0;2
455;191;0.01;0.03;0.02;0.01;5045.0;2
456;192;0.02;0.05;0.04;0.05;2952.0;2
457;193;0.01;0.05;0.06;0.02;4798.0;2
458;194;0.02;0.07;0.13;0.05;2856.0;2
459;195;0.01;0.03;0.07;0.07;4781.0;2
460;196;0.01;0.03;0.06;0.2;4807.0;2
461;197;0.01;0.05;0.06;0.04;2944.0;2
462;198;0.01;0.06;0.05;0.05;4900.0;2
463;199;0.01;0.03;0.02;0.02;4849.0;2
464;200;0.02;0.04;0.03;0.11;2831.0;2
465;201;0.02;0.08;0.05;0.02;2837.0;2
466;202;0.01;0.04;0.04;0.04;2900.0;2
467;203;0.01;0.05;0.06;0.1;4840.0;2
468;204;0.01;0.02;0.04;0.02;4819.0;2
469;205;0.01;0.03;0.04;0.02;4935.0;2
470;206;0.02;0.08;0.05;0.02;3003.0;2
471;207;0.02;0.09;0.05;0.02;3014.0;2
472;208;0.02;0.08;0.06;0.05;2992.0;2
473;209;0.02;0.06;0.07;0.05;2881.0;2
474;210;0.01;0.04;0.03;0.01;4783.0;2
475;211;0.01;0.12;0.07;0.02;4744.0;2
476;212;0.01;0.06;0.08;0.05;4815.0;2
477;213;0.02;0.05;0.06;0.11;2971.0;2
478;214;0.01;0.03;0.04;0.02;4812.0;2
479;215;0.02;0.08;0.09;0.04;2966.0;2
480;216;0.01;0.08;0.05;0.05;2961.0;2
481;217;0.01;0.05;0.07;0.04;4952.0;2
482;218;0.01;0.03;0.03;0.02;4806.0;2
483;219;0.01;0.04;0.02;0.02;4816.0;2
484;220;0.01;0.04;0.04;0.02;4632.0;2
485;221;0.01;0.02;0.03;0.02;4830.0;2
486;222;0.01;0.06;0.06;0.04;2859.0;2
487;223;0.01;0.04;0.04;0.03;2907.0;2
488;224;0.01;0.05;0.08;0.12;5037.0;2
489;225;0.01;0.04;0.06;0.02;4731.0;2
490;226;0.01;0.02;0.02;0.02;4761.0;2
491;227;0.01;0.04;0.04;0.02;4813.0;2
492;228;0.01;0.05;0.05;0.02;3031.0;2
493;229;0.01;0.03;0.04;0.02;4865.0;2
494;230;0.01;0.04;0.04;0.05;4788.0;2
495;231;0.01;0.03;0.03;0.03;2848.0;2
496;232;0.01;0.04;0.03;0.02;4838.0;2
497;233;0.01;0.03;0.03;0.11;4934.0;2
498;234;0.01;0.04;0.04;0.05;4884.0;2
499;235;0.01;0.05;0.05;0.05;4866.0;2
500;236;0.01;0.03;0.02;0.02;4870.0;2
501;237;0.01;0.04;0.07;0.02;4972.0;2
502;238;0.01;0.04;0.1;0.18;4873.0;2
503;239;0.01;0.03;0.04;0.03;4929.0;2
504;240;0.01;0.04;0.04;0.03;4938.0;2
505;241;0.01;0.04;0.02;0.02;4864.0;2
506;242;0.01;0.03;0.08;0.1;4820.0;2
507;243;0.01;0.07;0.02;0.02;4913.0;2
508;244;0.01;0.04;0.02;0.02;4729.0;2
509;245;0.01;0.03;0.03;0.02;4793.0;2
510;246;0.01;0.03;0.03;0.03;4919.0;2
511;247;0.01;0.03;0.03;0.01;4910.0;2
512;248;0.01;0.02;0.02;0.02;4792.0;2
513;249;0.01;0.04;0.05;0.02;4714.0;2
514;250;0.02;0.03;0.04;0.04;2921.0;2
515;251;0.01;0.03;0.02;0.03;4851.0;2
516;252;0.01;0.02;0.02;0.02;4794.0;2
517;253;0.01;0.03;0.03;0.02;4780.0;2
518;254;0.01;0.03;0.03;0.04;2855.0;2
519;255;0.01;0.05;0.06;0.05;4792.0;2
